,county,state_code,region_code,highest_price,lowest_price,crash_amount
1197,Clay County,37,43,183951.0,155100.0,0.1568406803985844
1198,Nowata County,40,105,57413.0,54783.0,0.04580844059707732
1199,Ritchie County,54,85,56279.0,49615.0,0.11841006414470762
1200,Perry County,5,105,74536.0,67066.0,0.10022002790597832
1201,Allendale County,45,5,39917.0,27993.0,0.29871984367562693
1202,Grundy County,29,79,67106.0,55459.0,0.17356123148451702
1203,Nantucket County,25,19,1223035.0,1092740.0,0.1065341547870666
1204,Lanier County,13,173,112237.0,85212.0,0.24078512433511232
1205,Johnson County,13,167,55749.0,44822.0,0.1960035157581302
1206,Montmorency County,26,119,94892.0,63017.0,0.335908190363782
1207,Rock County,27,133,105047.0,92131.0,0.12295448703913486
1208,Wayne County,31,179,93343.0,90717.0,0.028132800531373535
1209,Wilkinson County,13,319,74367.0,49504.0,0.33432839834872996
1210,Irwin County,13,155,68425.0,62221.0,0.09066861527219583
1211,Livingston County,21,139,80181.0,69933.0,0.12781082800164628
1212,Montgomery County,5,97,96147.0,78467.0,0.18388509261859445
1213,Caldwell County,29,25,108522.0,89857.0,0.17199277565839186
1214,Love County,40,85,81465.0,75538.0,0.07275517093230222
1215,Palo Alto County,19,147,73183.0,69851.0,0.04552969952038042
1216,Terrell County,13,273,71511.0,51874.0,0.2746011103186922
1217,Crittenden County,21,55,72005.0,66305.0,0.07916116936323866
1218,Wilcox County,13,315,54660.0,46151.0,0.15567142334431028
1219,Phelps County,31,137,85129.0,82692.0,0.028627142336923962
1220,Hamilton County,31,81,119043.0,114663.0,0.036793427584990296
1221,Montgomery County,13,209,97726.0,74964.0,0.23291652170353846
1222,Twiggs County,13,289,58910.0,47060.0,0.20115430317433372
1223,Turner County,13,287,63775.0,52839.0,0.17147785182281458
1224,Taylor County,13,269,64893.0,55688.0,0.14184888971075463
1225,Lafayette County,12,67,123834.0,66836.0,0.46027746822358967
1226,Baraga County,26,13,83125.0,61931.0,0.25496541353383456
1227,Benton County,18,7,80870.0,70077.0,0.1334611104241375
1228,Clearwater County,16,35,125443.0,100598.0,0.19805808215683618
1229,Marion County,13,197,86739.0,72445.0,0.16479323026550918
1230,Seminole County,13,253,83370.0,61693.0,0.26000959577785776
1231,Gallatin County,21,77,112696.0,99877.0,0.11374849151700149
1232,Franklin City,51,620,150018.0,125509.0,0.16337372848591503
1233,Bracken County,21,23,74865.0,72034.0,0.03781473318640219
1234,Schoolcraft County,26,153,75888.0,61398.0,0.1909392789373814
1235,Hamilton County,17,65,48337.0,38775.0,0.19781947576390757
1236,Greenlee County,4,11,70709.0,39493.0,0.44147138270941466
1237,Houston County,47,83,77355.0,70708.0,0.0859285114084416
1238,Atkinson County,13,3,63173.0,46946.0,0.25686606619916735
1239,Keith County,31,101,85433.0,83973.0,0.01708941509721068
1240,Lyon County,21,143,119245.0,117320.0,0.01614323451717053
1241,Ballard County,21,7,67574.0,63101.0,0.06619409832183976
1242,Doddridge County,54,17,62821.0,47650.0,0.24149567819678133
1243,Searcy County,5,129,52748.0,47183.0,0.10550163039356943
1244,Dallas County,5,39,50635.0,40863.0,0.19298903920213292
1245,Lincoln County,13,181,130034.0,102060.0,0.21512835104664935
1246,Perry County,47,135,61194.0,55901.0,0.08649540804654052
1247,Trousdale County,47,169,106861.0,96765.0,0.09447787312490057
1248,Clay County,47,27,72305.0,65738.0,0.09082359449553973
1249,Lake County,47,95,49414.0,43473.0,0.12022908487473186
1250,Randolph County,13,243,43921.0,37879.0,0.13756517383483982
1251,Pendleton County,54,71,86035.0,77137.0,0.10342302551287266
1252,Adair County,19,1,87249.0,82949.0,0.04928423248403993
1253,Pleasants County,54,73,83622.0,78727.0,0.05853722704551434
1254,Jefferson County,31,95,65089.0,61496.0,0.05520133970409747
1255,Major County,40,93,82270.0,67333.0,0.18156071471982496
1256,Grant County,41,23,157792.0,104465.0,0.33795756438856217
1257,Fremont County,19,71,89837.0,86568.0,0.036388125160012025
1258,Wheeler County,13,309,62946.0,50176.0,0.20287230324405045
1259,San Miguel County,8,113,624334.0,515100.0,0.17496083826925973
1260,Woodruff County,5,147,39452.0,34170.0,0.13388421372807463
1261,Nicholas County,21,181,72211.0,68451.0,0.05206962928085749
1262,Grand Isle County,50,13,246447.0,231499.0,0.060654014859178644
1263,Treutlen County,13,283,61072.0,49002.0,0.19763557767880535
1264,Talbot County,13,263,103146.0,79050.0,0.2336106102030132
1265,Hancock County,47,67,59299.0,53160.0,0.10352619774363818
1266,Fulton County,21,75,43826.0,33971.0,0.2248665175922968
1267,Calhoun County,13,37,46115.0,36743.0,0.20323105280277567
1268,Rio Blanco County,8,103,154332.0,138671.0,0.10147603866988052
1269,Jefferson County,40,67,36864.0,33842.0,0.08197699652777778
1270,Shelby County,29,205,77372.0,67687.0,0.12517448172465492
1271,Moore County,47,127,128297.0,117571.0,0.08360289016890496
1272,Essex County,50,9,110372.0,95626.0,0.13360272532888776
1273,Cotton County,40,33,56281.0,51976.0,0.07649117819512802
1274,Stanton County,31,167,103328.0,100972.0,0.022801176834933417
1275,Miller County,13,201,81459.0,65908.0,0.19090585447894032
