GISJOIN,county_name,total,bachelors_degree,gini_index,median_household_income,median_age,white,black,native_american,asian,poverty,owned,occupied
G3101830,Wheeler County,783,0.19439868204283361,0.3746,51591,2.7,0.9910600255427842,0,0,0.002554278416347382,0.13154533844189017,0.6705202312138728,0.6167557932263814
G3101850,York County,13745,0.2841031149301826,0.4586,60298,1.3,0.9466715169152419,0.015569297926518734,0.005092761004001455,0.0042197162604583486,0.09765103307408281,0.7157001414427157,0.8939465781571044
G3200010,Churchill County,24259,0.18795338327981925,0.4109,57824,1,0.8156560451791088,0.02469186693598252,0.046085988705222805,0.027865946658971928,0.1316311458113526,0.6542253521126761,0.9080113273042842
G3200030,Clark County,2182004,0.24458922424618476,0.4671,59340,0.1,0.6015809320239559,0.11694479020203447,0.008566895386076285,0.09733483531652554,0.13695247211211692,0.5376376473471138,0.8707079911542779
G3200050,Douglas County,48132,0.29431744662497306,0.4405,66810,0.3,0.8913820327432893,0.0075625363583478765,0.019758165046123162,0.018262278733482924,0.08717284053850656,0.7140928595535413,0.8500758227796221
G3200070,Elko County,52297,0.16628223946319984,0.3806,81232,0.3,0.8564353595808555,0.0051628200470390274,0.06617970438074841,0.011166988546188118,0.1170938344053009,0.7124273456960974,0.8371564947402568
G3200090,Esmeralda County,969,0.16064757160647572,0.3744,37375,8.6,0.9566563467492261,0.025799793601651185,0.016511867905056758,0,0.0893042575285566,0.5824847250509165,0.5168421052631579
G3200110,Eureka County,1859,0.08766716196136701,0.4095,67105,6.8,0.9381387842926304,0.0005379236148466917,0.05056481979558903,0.006993006993006993,0.07982740021574973,0.7377260981912145,0.6313213703099511
G3200130,Humboldt County,16828,0.16771639373762823,0.43,67756,0.5,0.8635013073449014,0.00647729973853102,0.057285476586641314,0.00647729973853102,0.13283600048128985,0.7141538461538461,0.8606991525423728
G3200150,Lander County,5643,0.12399896667527771,0.3986,88030,3.3,0.9330143540669856,0.009214956583377636,0.03437887648413964,0.001063264221158958,0.09703359542530379,0.7343039126478617,0.8272487768159579
G3200170,Lincoln County,5180,0.19606786964718556,0.3751,58462,5.2,0.885907335907336,0.044787644787644784,0.01138996138996139,0.00888030888030888,0.05495221546481321,0.7482656095143707,0.7652635570724308
G3200190,Lyon County,54380,0.14441402952237203,0.4011,56875,0.5,0.8507723427730783,0.008422214049282825,0.02697682971680765,0.013001103346818683,0.11631087699842899,0.7072065694464109,0.9047395388556789
G3200210,Mineral County,4460,0.14946070878274267,0.4515,35806,5.1,0.6816143497757847,0.05134529147982063,0.20560538116591928,0.012780269058295964,0.19849589790337283,0.7060546875,0.7023319615912208
G3200230,Nye County,44380,0.10743680618611054,0.4154,47300,0.5,0.8305092383956737,0.019062640829202344,0.017710680486705724,0.016786840919333034,0.16368210405946254,0.7081412405699916,0.8519907159435816
G3200270,Pershing County,6615,0.11145332050048123,0.4123,50491,2,0.8019652305366591,0.0382464096749811,0.033560090702947847,0.010582010582010581,0.12012711864406779,0.667864476386037,0.781074578989575
G3200290,Storey County,3988,0.31411530815109345,0.4217,66292,4.2,0.8761283851554664,0.016800401203610833,0.003510531594784353,0.009277833500501504,0.08161209068010075,0.9035033804548248,0.8246325392802838
G3200310,Washoe County,456936,0.30835011491563896,0.4605,64791,0.2,0.775616278866187,0.023263651802440603,0.01595847120822172,0.05340135161160425,0.11259733498742815,0.5832418487210451,0.9230332723652411
G3200330,White Pine County,9679,0.13154913622203343,0.3963,60827,1,0.8510176671143713,0.05899369769604298,0.05558425457175328,0.008988531873127389,0.13616812092908934,0.7556882821387941,0.7771883289124668
G3205100,Carson City,54773,0.22172210354999491,0.4539,55718,0.5,0.8199842988333668,0.02053931681667975,0.022638891424607014,0.026746754787942965,0.11342011113648474,0.5675675675675675,0.9491532493534662
G3300010,Belknap County,60887,0.3255530434011615,0.4395,69447,0.3,0.9634897432949562,0.0065695468655049515,0.003563979174536436,0.009345180416180794,0.08639733444398168,0.755149289477886,0.6488978682622323
G3300030,Carroll County,48138,0.34265004814378947,0.4446,63153,0.4,0.9716440234326312,0.004694835680751174,0.0006439818854127716,0.0067929702106443975,0.08986495014514705,0.7934843400447428,0.5211815001943257
G3300050,Cheshire County,76042,0.33125904758323776,0.4324,64751,0.3,0.9514741853186397,0.008968727808316456,0.0019331422108834592,0.012611451566239709,0.0897593904932635,0.6943697952954447,0.8469427897043947
G3300070,Coos County,31741,0.18243910467412772,0.4293,47117,0.3,0.9395419173939069,0.02596011467817649,0.0033395293153964905,0.005292838914968023,0.12509360746136564,0.7065659500290529,0.6375845142169121
G3300090,Grafton County,89777,0.40623864228939843,0.4847,63389,0.4,0.9224411597625227,0.011974113637123094,0.0029628969557904585,0.03710304420954142,0.09574046260138179,0.693437383016097,0.6563037438814658
G3300110,Hillsborough County,413035,0.38105148917463455,0.428,81460,0.2,0.8943406733085574,0.029113755492875905,0.0011548658104034767,0.0404178822617938,0.07774771769879801,0.6604981190171709,0.940966867610636
G3300130,Merrimack County,149917,0.3563907095370709,0.4267,75737,0.2,0.9406338173789497,0.014267894901845688,0.002848242694290841,0.020911571069325025,0.06530532404658279,0.7177342092657223,0.8998152709359606
G3300150,Rockingham County,306359,0.4144250492609732,0.4237,93756,0.2,0.9471959367931088,0.00832356810147572,0.00041454633289702604,0.020632656458599224,0.0464266070305218,0.7774877111817919,0.9158350293941847
G3300170,Strafford County,129124,0.3575454717696097,0.4291,72960,0.3,0.9262336978408352,0.00994392986586537,0.0007279824045103931,0.033541402063133115,0.09469123514306983,0.6601404597607284,0.9090436686895681
G3300190,Sullivan County,43104,0.2810537170713415,0.4379,61312,0.4,0.9630428730512249,0.007911098737936155,0.0033407572383073497,0.008003897550111359,0.11653807130553787,0.7329755309325946,0.7649655659544411
G3400010,Atlantic County,266105,0.2812980571379064,0.4716,62110,0.3,0.6575524698897052,0.1462092031341012,0.004051032487176115,0.07893876477330378,0.13325215774695495,0.671256885327992,0.7785514342968086
G3400030,Bergen County,930390,0.49347970481953407,0.4759,101144,0.1,0.7159642730467868,0.05952450047829405,0.0019110265587549307,0.16333473059684647,0.06652384772065745,0.6478920483969681,0.9497747521155415
G3400050,Burlington County,445702,0.3801653155807546,0.4336,87416,0.2,0.7202054287393819,0.16887068040978054,0.0013686274685776596,0.05066838380801522,0.06149089659910684,0.7542114657643743,0.9274136912392567
G3400070,Camden County,506738,0.3245214037484181,0.4712,70451,0.2,0.6358354810572722,0.19263801017488327,0.002093784164597879,0.057323508400790944,0.12237767133013991,0.6683050223339364,0.909281922378905
G3400090,Cape May County,93086,0.3281858812743525,0.4727,67074,0.2,0.9141546526867628,0.044979911049996775,0.00021485508024837247,0.00928173946672969,0.09759690433788448,0.7764058649274352,0.4044929112292573
G3400110,Cumberland County,151906,0.1556714927124446,0.4677,54149,0.2,0.6806643582215317,0.1945347780864482,0.0084130975734994,0.014410227377457112,0.1649067834198967,0.6523487551499143,0.8986855158730159
