,county,GISJOIN,highest_price,lowest_price,crash_amount
504,Twin Falls County,G1600830,166576.0,129136.0,0.22476227067524734
505,Cheshire County,G3300050,206947.0,171459.0,0.17148351993505584
506,Erie County,G3900430,138646.0,114015.0,0.17765388110728042
507,Bartholomew County,G1800050,169867.0,125435.0,0.26156934542907095
508,Lancaster County,G4500570,209170.0,173632.0,0.1699000812736052
509,Lynchburg City,G5106800,138292.0,117559.0,0.14992190437624736
510,Polk County,G4100530,254356.0,191214.0,0.24824262057903096
511,Clinton County,G2600370,166231.0,135162.0,0.18690256330046742
512,Allegany County,G2400010,94758.0,74083.0,0.21818738259566475
513,Hancock County,G3900630,126066.0,106070.0,0.15861532847873336
514,Putnam County,G1201070,122163.0,70420.0,0.42355705082553635
515,Bullitt County,G2100290,156263.0,147279.0,0.05749281659765908
516,Bastrop County,G4800210,200065.0,186565.0,0.0674780696273711
517,Christian County,G2100470,100549.0,89607.0,0.10882256412296493
518,Madison County,G3600530,164080.0,142775.0,0.1298451974646514
519,Nassau County,G1200890,275505.0,178182.0,0.3532531170033212
520,Wagoner County,G4001450,145598.0,133183.0,0.08526902842072007
521,Putnam County,G4701410,139473.0,123666.0,0.11333376352412294
522,Yuba County,G0601150,248005.0,154669.0,0.3763472510634866
523,Franklin County,G2500110,219547.0,172063.0,0.2162817073337372
524,Muskogee County,G4001010,82595.0,75054.0,0.09130092620618682
525,Shiawassee County,G2601550,123606.0,86398.0,0.3010209860362766
526,Grant County,G1800530,92143.0,71163.0,0.2276895694735357
527,Hancock County,G1800590,158709.0,151806.0,0.043494697843222505
528,Creek County,G4000370,97559.0,86617.0,0.1121577711948667
529,Barrow County,G1300130,148807.0,77829.0,0.476980249585033
530,Wilkes County,G3701930,116063.0,94002.0,0.19007780257274068
531,Armstrong County,G4200050,94671.0,85798.0,0.09372458302965005
532,Greene County,G4700590,83544.0,70088.0,0.16106482811452646
533,Walker County,G1302950,117927.0,90768.0,0.2303034928387901
534,Lonoke County,G0500850,133287.0,123740.0,0.07162739051820508
535,Columbia County,G1200230,130641.0,86629.0,0.3368927059652023
536,Columbia County,G4200370,130593.0,124868.0,0.04383849057759604
537,Kauai County,G1500070,526012.0,446574.0,0.15101936837942861
538,Marquette County,G2601030,106918.0,96871.0,0.09396921004882246
539,Troup County,G1302850,123949.0,93123.0,0.24869906171086495
540,Walker County,G0101270,99316.0,84203.0,0.15217084860445446
541,James City County,G5100950,361441.0,286128.0,0.20836872407944865
542,Laurens County,G4500590,106222.0,79401.0,0.25249948221649
543,Carteret County,G3700310,311327.0,240191.0,0.22849287083998496
